2024-03-15 16:58:55 INFO: Q:hello | A: Comparison is made based on core key specifications | country unknown
2024-03-23 12:02:45 INFO: Q:12521 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:04:00 INFO: Q:124215 | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-23 12:04:14 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 12:05:00 INFO: Q:test12345 | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 12:05:04 INFO: Q:testdddd | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-23 12:05:08 INFO: Q:12341245 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:05:30 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 12:05:41 INFO: Q:1205 | A:Check out our newsletter(https://www.ls-electric.com/media/news-letter)! | South Korea
2024-03-23 12:05:44 INFO: Q:1205 test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 12:06:02 INFO: Q:test1234 | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 12:06:06 INFO: Q:test1206 | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 12:15:40 INFO: Q:125215 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:16:02 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 12:16:10 INFO: Q:test123545 | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 12:18:42 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 12:18:48 INFO: Q:dd | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-23 12:19:10 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 12:20:23 INFO: Q:12452 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:21:14 INFO: Q:test1234 | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-03-23 12:22:41 INFO: Q:ddd | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-23 12:31:12 INFO: Q:ㅅㄷㄴㅅ | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-23 12:31:51 INFO: Q:1231 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:31:54 INFO: Q:1231 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:31:57 INFO: Q:1231 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:32:00 INFO: Q:1231 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:32:03 INFO: Q:1231 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:32:07 INFO: Q:1231 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:32:07 INFO: Q:1231 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:32:11 INFO: Q:1231 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-03-23 12:32:11 INFO: Q:1232 | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-23 12:32:13 INFO: Q:1232 | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-24 15:13:48 INFO: Q:special | A:We provide optimal solutions based on our own unique recommendation algorithm! | South Korea
2024-03-25 10:38:45 INFO: Q:3RT6025-1AC20 | A:Currently, the PMG only provides reommendations for MCCB, ACB, MC and MCB. For information on more products, please visit Product Finder through the link on the top of the page. For more recommendations on other products, suggests improvements through our survey page! | country unknown
2024-03-25 12:29:12 INFO: Q:recommend ㅡㅊ츄 | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-03-25 23:56:36 INFO: Q:Hello | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-25 23:56:55 INFO: Q:contact | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-25 23:57:22 INFO: Q:Hello? | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-25 23:57:35 INFO: Q:can I get contact info? | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-03-26 09:10:16 INFO: Q:I want to contact | A:Please visit our LS ELECTRIC website(https://www.ls-electric.com). For sales inquiry, contact our sales teams. | country unknown
2024-03-26 09:10:30 INFO: Q:I want to know the manager | A:Comparison on Schneider Electric, EATON, ABB, SIEMENS products are supported. | country unknown
2024-03-28 16:41:30 INFO: Q:how does it work? | A:The PMG suggests recommendations and similar alternatives to your searched product. | Romania
2024-03-29 17:40:00 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-04-01 19:20:19 INFO: Q:Hello | A:For sales inquiry, contact our sales teams stated on the HOME page. | Tunisia
2024-04-15 13:54:59 INFO: Q:tool search | A:Visit Product Finder through the link on the top of the page. | South Korea
2024-04-19 09:38:55 INFO: Q:' | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-04-19 09:40:44 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-04-19 09:42:40 INFO: Q:<ls> | A:Check out our newsletter(https://www.ls-electric.com/media/news-letter)! | South Korea
2024-04-19 09:49:39 INFO: Q:<script>alert(document.cookie)</script> | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-04-19 11:38:21 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-04-19 11:39:16 INFO: Q:upload | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-04-19 11:39:46 INFO: Q:download | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-04-19 11:40:00 INFO: Q:내일 | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-04-19 11:48:04 INFO: Q:1234 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-04-26 20:48:23 INFO: Q:quote | A:Check out our newsletter(https://www.ls-electric.com/media/news-letter)! | South Korea
2024-04-26 20:48:35 INFO: Q:product | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-04-26 20:48:52 INFO: Q:project | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-04-26 20:49:08 INFO: Q:sustainablitiy | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-04-26 20:49:19 INFO: Q:price | A:For price information, please inquire our sales teams or visit Product Finder(https://pfinder.ls-electric.com/main.do). | South Korea
2024-04-29 16:57:48 INFO: Q:hi | A:For sales inquiry, contact our sales teams stated on the HOME page. | Spain
2024-05-02 17:32:38 INFO: Q:Hi | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-05-03 02:50:02 INFO: Q:Hi, Could I get the installation manual for the BUSDUCT EX-WAY(UL) Fusible Plug-In Unit (Class R) please? | A:Currently, the PMG only provides reommendations for MCCB, ACB, MC and MCB. For information on more products, please visit Product Finder through the link on the top of the page. For more recommendations on other products, suggests improvements through our survey page! | Canada
2024-05-03 02:50:58 INFO: Q:But I have this product | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | Canada
2024-05-03 18:52:52 INFO: Q:sss | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | Country Unknown
2024-05-07 10:19:58 INFO: Q:test | A:The PMG suggests recommendations and similar alternatives to your searched product. | South Korea
2024-05-07 10:36:18 INFO: Q:123456 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-05-15 05:15:15 INFO: Q:PMG가 무엇인지 설명해줘 | A:For sales inquiry, contact our sales teams stated on the HOME page. | South Korea
2024-05-17 12:59:44 INFO: Q:hihi | A:For sales inquiry, contact our sales teams stated on the HOME page. | country unknown
2024-05-17 16:53:25 INFO: Q:A program for calculating the selectivity of lsis circuit breakers | A:Currently, the PMG only provides reommendations for MCCB, ACB, MC and MCB. For information on more products, please visit Product Finder through the link on the top of the page. For more recommendations on other products, suggests improvements through our survey page! | Russia
2024-05-21 18:44:06 INFO: Q:12512566 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
2024-05-21 18:45:14 INFO: Q:6346364 | A:Visit Product Finder(https://pfinder.ls-electric.com/main.do) for more information on products! | South Korea
